month,year,oilCompanies,quantity000MetricTonnes
December,2022,"RIL,JAMNAGAR,GUJARAT",2840.86
December,2022,GRAND TOTAL,22272.56
January,2023,"IOCL-BARAUNI,BIHAR",602.13
January,2023,"IOCL-PARADIP,ODISHA",1425.16
January,2023,"CPCL-MANALI, TAMILNADU",990.3
January,2023,CPCL-TOTAL,990.3
January,2023,"MRPL-MANGALORE,KARNATAKA",1496.59
January,2023,ONGC TOTAL,1503.17
January,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1116.62
January,2023,"NEL-VADINAR,GUJARAT",1719.37
February,2023,"CPCL-MANALI, TAMILNADU",927.88
February,2023,"BPCL-MUMBAI, MAHARASHTRA",1293.12
February,2023,GRAND TOTAL,20847.79
March,2023,"IOCL-GUWAHATI,ASSAM",96.81
March,2023,"CPCL-MANALI, TAMILNADU",1033.64
March,2023,BORL-BINA,735.71
April,2021,"IOCL-KOYALI, GUJARAT",998
April,2021,"IOCL-HALDIA, WEST BENGAL",696
April,2021,"IOCL-GUWAHATI,ASSAM",62
April,2021,"IOCL-DIGBOI,ASSAM",56
April,2021,"IOCL-BONGAIGAON,ASSAM",225
April,2021,IOCL TOTAL,5980
April,2021,"CPCL-MANALI, TAMILNADU",760
April,2021,BPCL-TOTAL,3236
April,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2248
May,2021,"CPCL-MANALI, TAMILNADU",629
May,2021,"BPCL-MUMBAI, MAHARASHTRA",1172
May,2021,"NRL-NUMALIGARH, ASSAM",226
May,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7
May,2021,"NEL-VADINAR,GUJARAT",1692
June,2021,"IOCL-BARAUNI,BIHAR",442
June,2021,"IOCL-MATHURA, UTTAR PRADESH",698
June,2021,IOCL TOTAL,5358
June,2021,CPCL-TOTAL,646
June,2021,"NRL-NUMALIGARH, ASSAM",193
June,2021,"HPCL-MUMBAI,MAHARASHTRA",304
June,2021,"HPCL-VISAKH,ANDHRA PRADESH",481
June,2021,RIL TOTAL,5219
June,2021,GRAND TOTAL,18400
July,2021,"IOCL-DIGBOI,ASSAM",60
July,2021,"NRL-NUMALIGARH, ASSAM",227
July,2021,"HPCL-MUMBAI,MAHARASHTRA",319
July,2021,"HPCL-VISAKH,ANDHRA PRADESH",480
July,2021,GRAND TOTAL,19384
August,2021,"IOCL-PANIPAT, HARYANA",1150
August,2021,"IOCL-GUWAHATI,ASSAM",64
August,2021,"HPCL-VISAKH,ANDHRA PRADESH",479
August,2021,HPCL-TOTAL,1890
August,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2237
September,2021,"IOCL-PARADIP,ODISHA",838
September,2021,GRAND TOTAL,18214
October,2021,"IOCL-HALDIA, WEST BENGAL",736
October,2021,"IOCL-BONGAIGAON,ASSAM",215
October,2021,CPCL-TOTAL,500
October,2021,"BPCL-KOCHI, KERALA",1444
October,2021,GRAND TOTAL,20958
November,2021,"IOCL-KOYALI, GUJARAT",1123
November,2021,"IOCL-MATHURA, UTTAR PRADESH",852
November,2021,"IOCL-BONGAIGAON,ASSAM",217
November,2021,IOCL TOTAL,5982
November,2021,BORL-BINA,684
November,2021,"HPCL-VISAKH,ANDHRA PRADESH",819
December,2021,"IOCL-HALDIA, WEST BENGAL",264
December,2021,"IOCL-BONGAIGAON,ASSAM",206
December,2021,"BPCL-MUMBAI, MAHARASHTRA",1304
December,2021,BORL-BINA,657
January,2022,"IOCL-PANIPAT, HARYANA",1221
January,2022,"IOCL-PARADIP,ODISHA",1325
January,2022,"BPCL-MUMBAI, MAHARASHTRA",1303
January,2022,BPCL-TOTAL,3475
January,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2235
February,2022,"IOCL-BONGAIGAON,ASSAM",181
February,2022,"NRL-NUMALIGARH, ASSAM",234
March,2022,"IOCL-BARAUNI,BIHAR",596
March,2022,"MRPL-MANGALORE,KARNATAKA",1504
March,2022,GRAND TOTAL,22337
April,2020,"IOCL-BARAUNI,BIHAR",247
April,2020,"IOCL-KOYALI, GUJARAT",578
April,2020,"MRPL-MANGALORE,KARNATAKA",671
April,2020,"HPCL-MUMBAI,MAHARASHTRA",549
April,2020,HPCL-TOTAL,1917
April,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2523
May,2020,"IOCL-DIGBOI,ASSAM",56
May,2020,"IOCL-PARADIP,ODISHA",959
May,2020,"MRPL-MANGALORE,KARNATAKA",566
May,2020,"HPCL-MUMBAI,MAHARASHTRA",525
May,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2550
June,2020,"IOCL-MATHURA, UTTAR PRADESH",769
June,2020,IOCL TOTAL,5573
June,2020,"CPCL-MANALI, TAMILNADU",579
June,2020,ONGC TOTAL,634
June,2020,"HPCL-VISAKH,ANDHRA PRADESH",725
June,2020,HPCL-TOTAL,2164
July,2020,"IOCL-BARAUNI,BIHAR",437
July,2020,"IOCL-DIGBOI,ASSAM",51
July,2020,"CPCL-MANALI, TAMILNADU",724
July,2020,BPCL-TOTAL,2571
July,2020,"HPCL-VISAKH,ANDHRA PRADESH",718
July,2020,HPCL-TOTAL,2390
July,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1468
August,2020,"IOCL-HALDIA, WEST BENGAL",562
August,2020,"CPCL-MANALI, TAMILNADU",562
August,2020,"BPCL-KOCHI, KERALA",936
August,2020,BPCL-TOTAL,2440
August,2020,"HPCL-MUMBAI,MAHARASHTRA",658
August,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1047
August,2020,RIL TOTAL,4390
September,2020,"IOCL-BONGAIGAON,ASSAM",189
September,2020,"BPCL-MUMBAI, MAHARASHTRA",909
September,2020,"NRL-NUMALIGARH, ASSAM",198
September,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7
September,2020,ONGC TOTAL,820
September,2020,HPCL-TOTAL,2414
September,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2230
October,2020,"IOCL-BARAUNI,BIHAR",435
October,2020,"IOCL-HALDIA, WEST BENGAL",585
October,2020,"IOCL-DIGBOI,ASSAM",61
October,2020,"NRL-NUMALIGARH, ASSAM",232
October,2020,BPCL-TOTAL,2910
October,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7
October,2020,"HPCL-VISAKH,ANDHRA PRADESH",793
October,2020,"RIL,JAMNAGAR,GUJARAT",3023
October,2020,"NEL-VADINAR,GUJARAT",563
October,2020,GRAND TOTAL,18389
November,2020,"IOCL-KOYALI, GUJARAT",1124
November,2020,"IOCL-HALDIA, WEST BENGAL",680
November,2020,"IOCL-MATHURA, UTTAR PRADESH",796
November,2020,"IOCL-DIGBOI,ASSAM",59
November,2020,IOCL TOTAL,6210
November,2020,"BPCL-MUMBAI, MAHARASHTRA",1247
November,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038
November,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2611
December,2020,"IOCL-BARAUNI,BIHAR",553
December,2020,"IOCL-GUWAHATI,ASSAM",84
December,2020,"IOCL-DIGBOI,ASSAM",58
December,2020,ONGC TOTAL,1314
January,2021,"IOCL-HALDIA, WEST BENGAL",723
January,2021,"IOCL-MATHURA, UTTAR PRADESH",893
January,2021,"IOCL-DIGBOI,ASSAM",58
January,2021,"IOCL-PARADIP,ODISHA",1206
January,2021,IOCL TOTAL,6278
January,2021,"BPCL-MUMBAI, MAHARASHTRA",1320
January,2021,"BPCL-KOCHI, KERALA",1573
January,2021,"NEL-VADINAR,GUJARAT",1545
January,2021,GRAND TOTAL,21809
February,2021,"IOCL-KOYALI, GUJARAT",912
February,2021,"IOCL-PANIPAT, HARYANA",1047
February,2021,"IOCL-PARADIP,ODISHA",1164
February,2021,"CPCL-MANALI, TAMILNADU",758
February,2021,"BPCL-MUMBAI, MAHARASHTRA",1264
February,2021,RIL TOTAL,4876
March,2021,"IOCL-DIGBOI,ASSAM",23
March,2021,IOCL TOTAL,5927
March,2021,"BPCL-MUMBAI, MAHARASHTRA",1376
March,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8
March,2021,"MRPL-MANGALORE,KARNATAKA",1361
March,2021,ONGC TOTAL,1369
March,2021,RIL TOTAL,4890
April,2023,"IOCL-PANIPAT, HARYANA",1251.74
April,2023,"IOCL-DIGBOI,ASSAM",43.9
April,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.63
April,2023,"NEL-VADINAR,GUJARAT",1670.56
May,2023,"IOCL-BARAUNI,BIHAR",579.56
May,2023,"IOCL-KOYALI, GUJARAT",1330.39
May,2023,"IOCL-HALDIA, WEST BENGAL",720.08
May,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.36
May,2023,"MRPL-MANGALORE,KARNATAKA",1494.17
May,2023,"HPCL-MUMBAI,MAHARASHTRA",790.76
May,2023,HPCL-TOTAL,2957.93
June,2023,"IOCL-KOYALI, GUJARAT",1275.12
June,2023,"IOCL-PANIPAT, HARYANA",1277.62
June,2023,"IOCL-PARADIP,ODISHA",1346.43
June,2023,"BPCL-MUMBAI, MAHARASHTRA",1367.86
June,2023,BPCL-TOTAL,3415.5
June,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.61
July,2023,"IOCL-MATHURA, UTTAR PRADESH",436.21
July,2023,"IOCL-PANIPAT, HARYANA",1220.09
July,2023,"IOCL-BONGAIGAON,ASSAM",236.57
July,2023,"CPCL-MANALI, TAMILNADU",1040.15
July,2023,"MRPL-MANGALORE,KARNATAKA",1438.5
July,2023,ONGC TOTAL,1443.88
July,2023,"HPCL-VISAKH,ANDHRA PRADESH",1108.69
July,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1102.12
August,2023,"IOCL-PANIPAT, HARYANA",1230.31
August,2023,"IOCL-PARADIP,ODISHA",1429.01
August,2023,IOCL TOTAL,6252.46
August,2023,BORL-BINA,485.24
August,2023,BPCL-TOTAL,3217.68
September,2023,"IOCL-KOYALI, GUJARAT",1169.64
September,2023,"IOCL-PARADIP,ODISHA",1172.85
September,2023,CPCL-TOTAL,1007.97
September,2023,ONGC TOTAL,769.08
September,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1074.65
October,2023,"IOCL-PANIPAT, HARYANA",1300.18
October,2023,"BPCL-KOCHI, KERALA",1543.83
October,2023,BORL-BINA,710.06
October,2023,"HPCL-MUMBAI,MAHARASHTRA",898.01
October,2023,"NEL-VADINAR,GUJARAT",1726.29
October,2023,GRAND TOTAL,20562.37
November,2023,"IOCL-KOYALI, GUJARAT",1290.12
November,2023,"IOCL-MATHURA, UTTAR PRADESH",864.52
November,2023,"IOCL-DIGBOI,ASSAM",66.3
November,2023,"IOCL-BONGAIGAON,ASSAM",249.59
November,2023,IOCL TOTAL,6319.06
November,2023,CPCL-TOTAL,1001.04
November,2023,BPCL-TOTAL,3117.07
November,2023,ONGC TOTAL,1503.8
November,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1074.42
December,2023,"IOCL-GUWAHATI,ASSAM",97.18
